epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.493,2.72994,3.7055,1.50658,0.23735,0.17325,0.11299,0.04632,2.44389,4.08604,1.14654,0.000246951,0.000246951,0.0508567
2,178.684,2.5362,2.47091,1.34744,0.29278,0.02364,0.0148,0.00866,2.52323,inf,1.41826,0.00048871,0.00048871,0.00109847
3,255.445,2.47691,2.2272,1.3318,0.26798,0.14545,0.11194,0.05681,2.15304,5.78562,1.00761,0.000483417,0.000483417,0.000483417
4,332.421,2.53569,2.38493,1.31025,0.31483,0.11607,0.10485,0.05559,2.20135,2.59941,1.01304,0.000475125,0.000475125,0.000475125
5,408.912,2.39832,2.14665,1.28183,0.17696,0.17795,0.12855,0.06632,2.19966,3.74316,1.03202,0.000466833,0.000466833,0.000466833
6,485.923,2.54172,2.33824,1.29065,0.34418,0.10938,0.10928,0.05649,2.10253,2.15082,0.96883,0.000458542,0.000458542,0.000458542
7,562.287,2.43351,2.18392,1.29336,0.56661,0.10749,0.12039,0.06222,2.19456,3.09835,1.03261,0.00045025,0.00045025,0.00045025
8,638.664,2.38323,2.08627,1.28926,0.2366,0.20032,0.15836,0.0806,2.09944,2.89185,0.97607,0.000441958,0.000441958,0.000441958
9,715.518,2.41923,2.13823,1.28296,0.2098,0.1398,0.1012,0.0542,2.07182,2.43542,0.9795,0.000433667,0.000433667,0.000433667
10,791.968,2.34005,2.01809,1.26872,0.40684,0.14044,0.15171,0.07557,2.03031,1.92187,0.97058,0.000425375,0.000425375,0.000425375
11,868.486,2.36694,2.0505,1.25189,0.39785,0.2016,0.19075,0.09376,2.04486,1.84885,0.94707,0.000417083,0.000417083,0.000417083
12,945.519,2.35945,2.0065,1.25138,0.39368,0.19173,0.18771,0.09231,2.0135,1.82014,0.93738,0.000408792,0.000408792,0.000408792
13,1021.91,2.38475,1.99274,1.27543,0.44739,0.1935,0.19039,0.0922,2.0595,1.75425,0.96015,0.0004005,0.0004005,0.0004005
14,1098.4,2.38836,2.02903,1.25185,0.40647,0.1705,0.16906,0.08104,2.03209,1.87502,0.94117,0.000392208,0.000392208,0.000392208
15,1174.88,2.37458,2.01974,1.26303,0.43547,0.20291,0.19773,0.09896,2.01184,1.67081,0.94622,0.000383917,0.000383917,0.000383917
16,1251.82,2.34918,1.97086,1.25508,0.34506,0.17093,0.17352,0.08965,2.11616,1.98853,0.99967,0.000375625,0.000375625,0.000375625
